,X,Y,class
82,11.690596,12.260537,14Mo
83,2.8981802,8.114569,5Ery
84,7.001389,8.263626,7MEP
85,7.741438,8.126417,7MEP
86,2.8441422,10.400118,5Ery
87,5.856604,8.072779,6Ery
88,-0.34873384,11.5994425,2Ery
89,5.549529,8.863023,10GMP
90,10.556421,9.387741,10GMP
91,0.417858,10.37605,2Ery
92,8.721631,9.416567,7MEP
93,5.6627736,8.908734,6Ery
94,6.2996,7.921013,7MEP
95,12.69514,9.727928,14Mo
96,13.537971,11.264095,16Neu
97,11.519294,7.6696353,10GMP
98,2.213573,9.522477,3Ery
99,1.2202752,12.458231,3Ery
100,14.810439,9.356247,13Baso
101,-2.079004,11.372831,1Ery
102,14.533039,10.486476,14Mo
103,14.261776,10.789957,15Mo
104,1.1706784,8.490826,2Ery
105,5.144727,7.853775,5Ery
106,-0.93680817,9.56919,2Ery
107,4.6965137,8.178011,5Ery
108,1.450755,11.244456,3Ery
109,13.664118,10.09856,14Mo
110,11.428979,8.194167,10GMP
111,-1.5188235,10.869627,2Ery
112,7.5990744,7.2079396,7MEP
113,1.7404412,10.730997,4Ery
114,9.57897,9.323632,9GMP
115,7.3785853,8.609314,7MEP
116,0.8192387,10.469718,3Ery
117,13.097178,13.686498,16Neu
118,16.996464,7.477382,11DC
119,10.811433,9.705962,10GMP
120,4.4200506,10.42194,6Ery
121,5.3906984,9.64592,3Ery
122,-0.2898868,9.122468,2Ery
123,2.1000435,9.089232,5Ery
124,1.403214,9.56161,2Ery
125,0.38008577,9.702853,2Ery
126,3.0997145,8.451953,5Ery
127,14.923607,9.2979355,14Mo
128,3.6676354,9.774231,5Ery
129,13.761937,9.918044,14Mo
130,4.091119,9.695414,3Ery
131,0.13485175,9.964119,2Ery
132,13.073172,13.181917,16Neu
133,-1.0168072,11.651142,2Ery
134,12.11648,10.4920025,13Baso
135,12.98838,12.745373,16Neu
136,-0.5020211,9.302473,2Ery
137,0.3543259,11.56137,3Ery
138,3.1678028,10.959683,3Ery
139,13.725937,10.357018,14Mo
140,1.1402124,8.583042,5Ery
141,13.015726,14.687153,16Neu
142,13.596945,9.20917,14Mo
143,12.186341,10.509813,14Mo
144,14.575308,7.695888,13Baso
145,0.99196464,10.4856205,3Ery
146,13.184059,10.835961,14Mo
147,6.7172866,8.379142,7MEP
148,10.536286,10.192771,14Mo
149,12.338641,10.005997,10GMP
150,4.4418807,7.5366635,2Ery
151,10.548231,9.435246,14Mo
152,13.075383,12.125358,15Mo
153,13.826538,10.216754,14Mo
154,12.710635,13.627708,16Neu
155,10.479447,8.27569,10GMP
156,7.6756296,7.80204,7MEP
157,4.9866624,7.4885693,5Ery
158,13.860362,12.8414955,16Neu
159,1.4381119,8.536104,2Ery
160,12.9791355,12.720654,16Neu
161,11.977059,11.079633,14Mo
162,11.221881,9.286059,10GMP
163,13.06914,14.121745,16Neu
164,7.6923575,9.941948,8Mk
165,7.3874545,8.023084,7MEP
166,13.091113,9.361948,14Mo
167,7.534012,8.667884,7MEP
168,0.465029,9.248031,2Ery
169,14.795886,9.181468,14Mo
170,13.142613,10.550478,14Mo
171,1.9077768,9.032877,4Ery
172,4.1700563,7.761587,5Ery
173,12.460919,10.624464,14Mo
174,12.948891,11.386398,14Mo
175,7.9492793,10.055687,10GMP
176,6.53397,7.2737913,6Ery
177,4.405745,8.097648,5Ery
178,13.693529,10.504281,14Mo
179,0.50736827,12.080063,3Ery
180,4.5252876,8.527411,5Ery
181,12.456695,10.884358,15Mo
182,2.720584,8.925439,5Ery
183,14.715542,10.768376,14Mo
184,13.809977,11.534372,16Neu
185,7.9761243,8.519667,8Mk
186,-0.29019165,11.489257,3Ery
187,11.281133,11.550686,14Mo
188,8.69247,10.060761,12Baso
189,10.551809,9.948801,14Mo
190,0.3484211,12.684477,3Ery
191,5.7988853,8.135151,5Ery
192,13.208845,12.864528,16Neu
193,11.139257,12.704324,15Mo
194,14.208616,8.846613,13Baso
195,3.826838,9.027597,5Ery
196,2.0839841,11.790447,3Ery
197,12.350064,8.759036,13Baso
198,9.100839,10.162672,12Baso
199,9.427599,8.663871,8Mk
200,6.814793,9.6617775,7MEP
201,5.2046685,9.518687,6Ery
202,0.57488436,10.703387,2Ery
203,0.9271495,11.996704,3Ery
204,0.299146,12.414027,3Ery
205,13.696354,11.217694,15Mo
206,5.1315527,10.323997,3Ery
207,2.1938171,10.798162,3Ery
208,3.5495534,10.447957,3Ery
209,6.22923,9.585131,8Mk
210,1.5333112,9.6332445,2Ery
211,0.66503507,9.763236,2Ery
212,12.338559,10.831664,14Mo
213,2.344708,11.53892,3Ery
214,12.066978,11.24952,15Mo
215,13.075016,9.520378,14Mo
216,6.473535,8.986494,7MEP
217,13.369246,12.549732,15Mo
218,2.5577445,10.074199,3Ery
219,2.2083814,10.397595,3Ery
220,11.228916,11.273589,13Baso
221,12.164018,11.437226,15Mo
222,1.0691681,12.087064,3Ery
223,12.288856,11.461324,15Mo
224,13.212435,8.399233,13Baso
225,3.9034395,10.438619,3Ery
226,11.312952,12.6067295,15Mo
227,11.763513,13.318391,15Mo
228,13.980804,7.397193,13Baso
229,10.185181,8.04948,19Lymph
230,2.7791462,10.389628,4Ery
231,3.1977694,9.990178,3Ery
232,13.208251,9.351566,14Mo
233,1.5358996,9.60855,4Ery
234,6.017645,8.960099,6Ery
235,12.840015,14.902108,16Neu
236,13.882662,8.686869,14Mo
237,-0.53743875,10.738953,3Ery
238,9.309051,11.75622,17Neu
239,12.238774,11.038388,15Mo
240,4.0059376,9.213393,4Ery
241,1.5829281,11.425679,3Ery
242,5.721078,8.384637,6Ery
243,12.9836,8.971142,14Mo
244,3.6364129,11.165555,3Ery
245,12.98235,12.248844,16Neu
246,15.328228,8.2418375,14Mo
247,12.429557,11.745236,15Mo
248,6.6143756,8.945685,7MEP
249,11.821248,8.664539,13Baso
250,11.789001,12.203676,15Mo
251,14.644827,8.303817,14Mo
252,2.1759355,12.266581,3Ery
253,-0.13813491,9.3040495,2Ery
254,0.9313107,10.075807,2Ery
255,11.211124,10.446569,14Mo
256,-1.3809494,11.502487,2Ery
257,10.040385,10.787916,13Baso
258,0.3026334,10.140468,2Ery
259,3.1409883,10.686645,3Ery
260,10.772743,9.9038925,13Baso
261,8.427128,8.205615,12Baso
262,0.8543804,9.039017,2Ery
263,10.027263,9.080943,10GMP
264,3.2000475,8.159955,5Ery
265,14.758578,8.904307,13Baso
266,2.4362366,11.94421,3Ery
267,10.850395,9.193331,9GMP
268,12.318998,13.181054,15Mo
269,0.120497346,9.572921,2Ery
270,10.322136,8.733381,10GMP
271,3.8023193,9.431921,5Ery
272,2.9880219,8.250122,5Ery
273,0.16950502,9.369677,2Ery
274,12.281359,9.985067,14Mo
275,12.155545,8.72839,13Baso
276,-0.3787274,10.018219,2Ery
277,12.698541,9.732244,14Mo
278,13.396471,12.953552,16Neu
279,8.2501545,8.594779,12Baso
280,13.39774,9.949414,14Mo
281,13.223364,10.093035,14Mo
282,1.3193572,11.699126,3Ery
283,13.500044,8.699734,14Mo
284,11.932412,8.42712,13Baso
285,10.773582,10.046308,12Baso
286,4.0011663,8.356673,5Ery
287,8.426314,9.088423,10GMP
288,13.562802,9.27469,14Mo
289,3.6692586,8.963606,4Ery
290,14.339909,10.950803,15Mo
291,16.973501,7.365034,11DC
292,3.1953897,11.111568,3Ery
293,1.812273,10.413314,4Ery
294,3.6668222,8.207519,4Ery
295,1.7858747,9.248903,4Ery
296,0.8210976,10.433599,4Ery
297,4.0534782,8.355892,5Ery
298,-2.1783082,10.605038,1Ery
299,12.356805,13.792505,16Neu
300,14.641633,10.378182,14Mo
301,-0.7464721,9.915641,2Ery
302,3.341577,9.22352,5Ery
303,13.223445,12.632268,15Mo
304,3.9535937,9.362562,5Ery
305,2.4047344,7.886072,2Ery
306,3.3415937,8.681398,5Ery
307,-2.1627657,10.569208,1Ery
308,7.2436876,7.7447805,7MEP
309,0.44001836,8.846261,2Ery
310,12.198429,11.841101,14Mo
311,7.8672867,9.728681,10GMP
312,1.709809,9.221118,2Ery
313,13.385774,10.612871,14Mo
314,6.238588,7.8000164,6Ery
315,7.302269,10.12672,9GMP
316,-0.26960653,12.084438,3Ery
317,1.2167022,8.715142,2Ery
318,1.8123232,8.838146,3Ery
319,7.8885365,8.466016,12Baso
320,2.6063364,8.289571,2Ery
321,10.342962,12.669883,18Eos
322,2.9918034,8.81776,5Ery
323,3.857203,8.4292755,3Ery
324,13.841899,11.306315,15Mo
325,11.75475,9.644607,14Mo
326,-0.5501189,10.730451,2Ery
327,5.594846,7.807405,6Ery
328,13.391186,10.657158,14Mo
329,-1.7511526,10.521594,2Ery
330,3.3465664,8.666457,5Ery
331,9.776721,10.897592,12Baso
332,6.835486,9.785014,7MEP
333,9.234347,11.65213,17Neu
334,12.879162,10.079344,14Mo
335,1.3258919,8.776936,2Ery
336,3.3767505,7.71207,5Ery
337,0.02013585,8.946298,2Ery
338,14.978478,8.889699,14Mo
339,15.218309,10.098981,13Baso
340,14.040522,10.628363,15Mo
341,0.98147464,9.33012,2Ery
342,11.963019,9.154608,13Baso
343,13.336905,13.151913,16Neu
344,2.2139146,9.8344345,5Ery
345,15.347822,8.118022,14Mo
346,13.331599,13.127646,16Neu
347,13.047316,11.581244,14Mo
348,13.009978,14.788962,16Neu
349,15.342738,9.826058,14Mo
350,7.5410404,10.974005,8Mk
351,11.267543,9.385909,10GMP
352,13.031363,10.68443,14Mo
353,3.3938713,8.43402,5Ery
354,6.930995,7.2895765,7MEP
355,0.56306076,8.731456,2Ery
356,11.006015,12.096567,14Mo
357,15.502035,8.911988,13Baso
358,2.0676086,8.601058,2Ery
359,3.7337644,8.862472,5Ery
360,15.271742,9.7392845,14Mo
361,14.001831,9.399388,14Mo
362,10.36064,8.745014,9GMP
363,2.389435,10.104716,4Ery
364,10.697724,8.783454,10GMP
365,11.934554,10.080767,13Baso
366,9.442122,9.538492,10GMP
367,7.9681907,7.8003197,7MEP
368,11.387027,8.028479,10GMP
369,4.7791476,10.054235,3Ery
370,0.6761454,10.618047,2Ery
371,13.9099245,9.556019,14Mo
372,10.62264,8.678835,10GMP
373,12.31138,13.028145,15Mo
374,11.572317,10.677168,13Baso
375,7.5503535,7.284651,7MEP
376,6.0372243,7.485575,6Ery
377,6.2750134,9.276242,7MEP
378,4.5644526,9.10577,5Ery
379,14.152534,10.40423,14Mo
380,14.968021,9.245969,13Baso
381,11.653163,8.192268,10GMP
382,6.5958247,8.673111,7MEP
383,1.553744,12.043211,3Ery
384,6.8794856,8.241913,7MEP
385,12.49064,8.443514,13Baso
386,-2.060505,10.563199,1Ery
387,12.097734,10.397316,14Mo
388,15.293986,8.287757,13Baso
389,10.881812,9.894455,10GMP
390,10.004127,9.286892,9GMP
391,3.6091218,10.691622,3Ery
392,12.3441105,8.614893,13Baso
393,-1.0320365,10.318174,2Ery
394,12.7689905,9.210211,13Baso
395,0.35142097,9.867488,2Ery
396,6.9845853,7.7159424,6Ery
397,6.282305,7.8100414,6Ery
398,14.068604,9.205136,13Baso
399,4.588874,9.935526,3Ery
400,12.94632,10.217619,13Baso
401,17.269144,7.1745687,11DC
402,12.685131,12.820359,14Mo
403,10.217648,9.004095,10GMP
404,7.7442284,10.701224,8Mk
405,9.850085,9.9640875,9GMP
406,0.8306565,9.485147,2Ery
407,11.97688,10.676184,13Baso
408,14.206773,9.286586,14Mo
409,11.879296,9.886054,13Baso
410,14.369674,10.580387,14Mo
411,2.3850837,8.585919,5Ery
412,13.551784,9.698484,14Mo
413,4.7978215,7.9306865,5Ery
414,13.149179,9.693471,13Baso
415,9.514584,11.10731,12Baso
416,13.111465,15.310981,16Neu
417,16.712217,7.5676208,11DC
418,10.078222,9.184756,13Baso
419,13.8829155,8.991043,13Baso
420,-1.0235351,10.688195,2Ery
421,2.3051689,8.516161,2Ery
422,11.815494,10.23579,14Mo
423,7.3920546,7.591906,7MEP
424,3.740367,8.298922,4Ery
425,5.4463067,7.634611,6Ery
426,12.6322365,10.098992,13Baso
427,11.839149,11.006978,14Mo
428,14.681082,9.6104,14Mo
429,7.085882,7.6544805,6Ery
430,9.539937,10.941387,12Baso
431,4.6759214,9.662633,6Ery
432,12.088132,10.374904,14Mo
433,1.7113972,8.953552,2Ery
434,12.774666,11.7723465,13Baso
435,15.138303,9.128972,13Baso
436,14.075329,10.6416235,14Mo
437,7.5657516,7.2387514,7MEP
438,7.723634,8.727985,7MEP
439,12.414365,13.387203,15Mo
440,4.201058,8.151247,5Ery
441,4.9557247,7.5240192,5Ery
442,6.2060127,7.164638,5Ery
443,3.0551977,8.012937,5Ery
444,12.222336,13.70185,15Mo
445,-1.366241,11.245528,1Ery
446,11.053954,9.877126,13Baso
447,10.9938965,8.705337,10GMP
448,7.6745534,8.91871,12Baso
449,1.4445283,12.14057,4Ery
450,8.825081,10.321156,7MEP
451,12.0475,14.598338,15Mo
452,10.249614,7.3158026,19Lymph
453,14.2124405,8.093778,13Baso
454,13.198733,8.98846,13Baso
455,1.0950627,12.48889,3Ery
456,2.1644042,9.318755,3Ery
457,12.4054165,13.77183,15Mo
458,12.842251,13.851268,16Neu
459,14.569142,8.710059,13Baso
460,0.26627705,10.739587,2Ery
461,12.012128,13.761721,15Mo
462,8.804336,9.492391,17Neu
463,11.640778,12.649599,15Mo
464,12.043376,9.103145,13Baso
465,12.964932,13.326397,16Neu
466,5.953116,7.331495,6Ery
467,4.7326837,9.67875,5Ery
468,13.381462,11.090781,15Mo
469,8.216255,9.320173,9GMP
470,13.272255,9.448037,13Baso
471,11.130007,13.036387,15Mo
472,13.902785,9.130719,13Baso
473,5.8536034,8.684338,6Ery
474,7.192837,8.2797165,7MEP
475,9.638312,9.611145,12Baso
476,12.62526,14.019819,15Mo
477,-0.5482736,9.345274,2Ery
478,12.393633,9.773574,13Baso
479,5.760226,8.001342,10GMP
480,12.671485,12.089469,14Mo
481,14.975991,10.662096,14Mo
482,11.771547,13.093756,14Mo
483,12.349699,13.570628,15Mo
484,5.3414235,7.5730953,5Ery
485,13.052504,14.809789,16Neu
486,4.728697,7.8121405,5Ery
487,13.398394,10.763477,14Mo
488,14.427455,9.482546,13Baso
489,12.524311,15.149105,15Mo
490,-0.69432193,9.651331,2Ery
491,-0.23318166,9.321134,2Ery
492,0.32291776,9.034062,2Ery
493,14.119566,9.522735,13Baso
494,13.049527,8.263206,13Baso
495,5.4344583,9.085997,5Ery
496,4.48245,8.447613,5Ery
497,8.956588,8.839885,9GMP
498,14.747407,10.462373,14Mo
499,7.6015797,7.856888,7MEP
500,11.412249,10.458026,14Mo
501,16.234146,8.019381,11DC
502,13.078985,14.028425,16Neu
503,-0.17106761,10.910796,2Ery
504,2.6797044,8.337253,2Ery
505,8.220234,7.7579374,10GMP
506,7.670522,10.672446,8Mk
507,0.16239549,9.161814,2Ery
508,3.4434016,8.427877,5Ery
509,14.863288,8.075601,13Baso
510,15.237781,8.696601,13Baso
511,10.523708,9.932581,12Baso
512,7.6245446,7.6238885,7MEP
513,7.1793137,7.438964,7MEP
514,15.69347,9.147103,13Baso
515,6.712932,7.5666203,6Ery
516,2.7149467,8.395033,5Ery
517,13.247088,15.072451,16Neu
518,14.918251,10.321752,14Mo
519,14.472314,8.837925,13Baso
520,0.44744083,9.332028,2Ery
521,13.3662615,10.396771,14Mo
522,4.2079043,7.8248587,5Ery
523,7.7088084,7.673251,7MEP
524,12.062597,7.91867,10GMP
525,9.975493,7.2862782,19Lymph
526,10.276338,11.065788,14Mo
527,2.1386821,10.720182,4Ery
528,11.856979,12.389539,14Mo
529,9.66274,9.997239,12Baso
530,10.394646,8.842425,9GMP
531,11.291747,13.618006,15Mo
532,9.022738,11.86131,17Neu
533,7.849862,8.926815,7MEP
534,12.882306,13.694228,16Neu
535,13.898118,8.079113,13Baso
536,2.771826,11.0008335,3Ery
537,12.905008,14.014401,15Mo
538,1.7903746,10.127213,3Ery
539,6.1441197,8.660501,7MEP
540,7.5968885,10.805494,8Mk
541,10.271557,7.5360165,19Lymph
542,2.4637837,9.454322,3Ery
543,15.4459915,9.232987,13Baso
544,11.027695,8.610102,9GMP
545,2.8357942,11.133784,3Ery
546,3.1712818,9.120774,3Ery
547,-2.0014672,10.983421,2Ery
548,12.889366,14.232616,16Neu
549,14.87625,9.550065,14Mo
550,12.912077,15.035726,16Neu
551,6.4331074,8.024707,6Ery
552,14.580083,9.683433,14Mo
553,5.488556,8.230205,5Ery
554,14.371186,10.031486,14Mo
555,11.531003,10.895957,14Mo
556,9.957457,8.255409,19Lymph
557,12.386692,12.309993,15Mo
558,10.465494,9.813049,13Baso
559,11.607151,13.282291,14Mo
560,12.814513,8.618527,13Baso
561,9.150787,11.66721,17Neu
562,13.228865,10.2620535,14Mo
563,-1.5775768,10.216867,1Ery
564,2.0563512,8.302637,2Ery
565,4.18779,8.022808,5Ery
566,7.424126,7.157018,6Ery
567,12.766837,11.368118,15Mo
568,10.858306,9.812017,10GMP
569,6.600899,7.0292,6Ery
570,11.080675,9.698542,10GMP
571,7.747784,7.271743,7MEP
572,14.602422,10.521782,14Mo
573,12.578925,8.017055,13Baso
574,0.8504446,8.904566,2Ery
575,11.463086,11.854646,14Mo
576,13.280534,11.147888,14Mo
577,7.1588793,7.0437703,6Ery
578,10.132321,9.240462,13Baso
579,15.078054,9.956925,14Mo
580,12.899233,10.531447,14Mo
581,1.4076082,9.334957,2Ery
582,5.4339027,9.279467,6Ery
583,12.568593,8.576074,13Baso
584,10.767382,9.709892,10GMP
585,13.431665,12.643317,15Mo
586,13.28665,14.808243,16Neu
587,10.343181,10.025662,10GMP
588,-1.8835807,10.464509,1Ery
589,14.92355,10.181272,14Mo
590,9.253803,10.31284,12Baso
591,11.004001,8.028728,10GMP
592,8.263519,8.191548,12Baso
593,13.175394,14.6897135,16Neu
594,9.945073,9.645784,10GMP
595,13.369924,8.189695,13Baso
596,13.39141,14.161272,16Neu
597,6.392377,7.501177,6Ery
598,4.437931,7.6515603,5Ery
599,10.509657,9.062007,10GMP
600,13.538049,8.264423,13Baso
601,10.486487,7.869204,19Lymph
602,13.040123,11.596797,14Mo
603,4.462333,7.9192424,5Ery
604,13.073423,8.415559,13Baso
605,14.7806835,9.650747,13Baso
606,15.382077,8.505533,13Baso
607,10.237158,7.289654,19Lymph
608,11.2382555,11.1576605,13Baso
609,1.4822383,11.054141,4Ery
610,9.621892,9.275939,12Baso
611,10.792424,10.4284725,10GMP
612,16.205849,8.019572,11DC
613,-2.294873,10.767003,1Ery
614,9.866068,7.2844496,19Lymph
615,1.1362375,11.547103,3Ery
616,6.3719573,7.7237506,6Ery
617,6.6716633,8.134781,6Ery
618,0.4628953,8.94604,2Ery
619,-1.3106763,11.026589,2Ery
620,13.835832,8.750114,13Baso
621,5.2538533,9.988005,3Ery
622,12.756363,14.938938,15Mo
623,0.8782846,9.808733,2Ery
624,10.271658,10.065212,10GMP
625,5.4565597,8.101208,5Ery
626,12.838635,10.332856,13Baso
627,11.063824,8.271611,9GMP
628,10.644027,8.418709,9GMP
629,9.685249,10.515443,12Baso
630,9.502831,11.534339,17Neu
631,6.780036,7.060922,6Ery
632,7.0109816,7.3973684,7MEP
633,4.640523,8.371066,6Ery
634,14.825793,9.421005,14Mo
635,13.925461,9.917816,14Mo
636,10.0163965,7.5768337,19Lymph
637,14.077976,9.144585,13Baso
638,14.050503,8.684903,13Baso
639,1.661013,8.628483,2Ery
640,12.782288,8.902364,13Baso
641,7.649646,7.8421526,7MEP
642,3.560286,9.488471,3Ery
643,11.9574375,10.257046,13Baso
644,11.867719,13.314375,15Mo
645,13.505412,9.185434,13Baso
646,17.289446,7.1102805,11DC
647,9.171699,11.736373,17Neu
648,10.726756,10.539797,13Baso
649,13.579345,10.058905,14Mo
650,1.3748243,8.85266,2Ery
651,17.030796,7.3346014,11DC
652,10.89624,9.593739,13Baso
653,14.931313,9.679411,13Baso
654,0.6794999,9.223732,2Ery
655,-1.0192034,10.327122,2Ery
656,13.767367,13.645766,16Neu
657,13.010398,10.299274,14Mo
658,10.032795,8.506759,10GMP
659,13.171064,13.427486,16Neu
660,14.32985,8.444993,13Baso
661,12.8272295,8.069024,10GMP
662,13.572898,13.0717745,16Neu
663,3.558064,7.7595816,2Ery
664,13.684618,10.037672,14Mo
665,9.302559,9.499662,12Baso
666,11.177206,7.49741,9GMP
667,0.4128573,9.317046,2Ery
668,-0.65289336,10.653579,2Ery
669,0.5119627,8.880389,2Ery
670,4.7632985,7.722353,6Ery
671,13.295618,7.825861,13Baso
672,11.330895,9.9619055,14Mo
673,2.3215427,8.407032,2Ery
674,2.9448528,8.963056,5Ery
675,13.077431,15.123059,16Neu
676,6.3637795,7.3344502,6Ery
677,12.221729,10.71325,13Baso
678,15.312733,8.963891,14Mo
679,3.639429,8.339934,5Ery
680,3.0997517,7.9800577,5Ery
681,-1.3675727,10.396679,2Ery
682,2.9522765,8.627392,4Ery
683,0.18652798,9.108904,2Ery
684,10.471265,9.407588,10GMP
685,1.5053499,8.778875,5Ery
686,12.5015545,9.786177,13Baso
687,12.394739,9.708441,13Baso
688,1.3262434,9.597202,2Ery
689,8.652485,9.074409,12Baso
690,9.576341,11.158536,12Baso
691,12.66312,11.07378,15Mo
692,14.75502,10.36743,13Baso
693,14.487202,8.739223,13Baso
694,15.46852,8.357121,13Baso
695,12.196979,9.396513,13Baso
696,11.201955,9.209221,10GMP
697,13.140822,12.93301,14Mo
698,14.044785,8.436237,13Baso
699,7.7096705,7.4993176,7MEP
700,13.190771,11.329282,13Baso
701,7.4739127,9.064513,9GMP
702,13.634181,9.355937,14Mo
703,-1.3683784,11.795631,1Ery
704,2.9711123,11.895161,3Ery
705,14.588098,7.566182,13Baso
706,15.373232,8.883705,13Baso
707,12.258185,14.595851,15Mo
708,0.54048043,9.99146,2Ery
709,10.759725,10.440847,13Baso
710,1.6585089,11.029181,5Ery
711,13.813518,10.833378,14Mo
712,1.6363251,11.517841,3Ery
713,5.49619,8.162082,6Ery
714,1.7421591,10.248355,2Ery
715,10.048776,7.7196445,19Lymph
716,12.791447,12.758917,15Mo
717,9.820082,10.467139,12Baso
718,8.363825,9.17396,7MEP
719,-1.1709363,11.94997,2Ery
720,7.9796085,10.43646,8Mk
721,14.045786,9.28462,14Mo
722,14.009048,8.489226,14Mo
723,10.465645,9.008713,8Mk
724,3.9870124,10.11058,5Ery
725,11.479934,10.997245,14Mo
726,-0.879657,11.5076275,2Ery
727,3.2212958,10.70928,3Ery
728,10.307181,9.37125,9GMP
729,3.6038702,9.438404,5Ery
730,1.4332156,10.222254,3Ery
731,3.4268103,9.323312,5Ery
732,14.227187,9.749429,14Mo
733,1.0981146,10.912544,2Ery
734,0.008641738,11.392154,2Ery
735,12.007502,11.896844,14Mo
736,13.324807,12.905762,16Neu
737,8.108466,8.787166,9GMP
738,12.951697,14.723973,16Neu
739,11.902911,14.0176,15Mo
740,11.725786,8.11035,10GMP
741,1.1190017,11.117029,3Ery
742,13.572775,9.801129,14Mo
743,7.007457,9.821434,8Mk
744,12.3849,10.894535,14Mo
745,14.430621,11.281531,15Mo
746,13.254014,12.828585,16Neu
747,3.251585,9.396985,5Ery
748,11.663439,10.282625,14Mo
749,13.906649,13.892629,16Neu
750,4.3054323,7.989208,4Ery
751,-0.057263352,10.910434,2Ery
752,14.538377,8.50102,13Baso
753,14.875538,8.642205,14Mo
754,11.292411,9.151876,13Baso
755,4.7706466,8.589314,5Ery
756,10.531258,9.761716,13Baso
757,7.7635818,8.733189,7MEP
758,13.544788,13.000887,15Mo
759,6.334358,7.9696517,6Ery
760,13.30769,14.057325,16Neu
761,11.956123,12.653833,15Mo
762,9.494201,10.661014,12Baso
763,5.727352,8.506878,6Ery
764,15.808241,8.59602,13Baso
765,12.032449,11.833178,14Mo
766,13.8498335,13.624897,16Neu
767,13.487188,10.003321,14Mo
768,14.437339,8.987732,14Mo
769,-0.22704516,9.705175,2Ery
770,6.307611,8.138303,6Ery
771,6.9715333,8.015636,6Ery
772,11.601398,8.804775,13Baso
773,13.481331,10.444571,14Mo
774,13.0739765,13.336922,16Neu
775,-0.72419226,11.54661,2Ery
776,-1.3001033,11.314916,2Ery
777,2.4906962,8.748532,5Ery
778,1.3836802,9.835129,2Ery
779,4.4986963,8.360452,5Ery
780,-1.5368773,10.905163,1Ery
781,12.573443,8.140499,13Baso
782,14.466998,10.104521,14Mo
783,13.677836,10.201186,14Mo
784,12.74809,14.518211,16Neu
785,-0.8685691,10.682569,1Ery
786,3.95111,10.047896,6Ery
787,11.5053625,11.14114,14Mo
788,13.3773365,10.609378,14Mo
789,12.58498,11.834684,15Mo
790,15.065419,7.884346,13Baso
791,11.422002,13.1874275,15Mo
792,-1.8274751,11.488518,1Ery
793,7.619937,10.969296,8Mk
794,12.70137,13.624992,15Mo
795,14.609625,10.302656,14Mo
796,10.35541,9.889342,10GMP
